ENCFF486ADH_PTBP1	ENCFF983TGB_PTBP1	ENCFF138XJC_FUS	ENCFF169XEG_FUS	ENCFF020XNK_U2AF2	ENCFF298TSM_U2AF2	ENCFF703PUD_PCBP1	ENCFF793CAH_PCBP1	ENCFF714YYN_SRSF1	ENCFF801DDP_SRSF1	ENCFF078KLK_HNRNPC	ENCFF682EBX_HNRNPC	ENCFF196EOX_HNRNPA1	ENCFF786LGW_HNRNPA1	ENCFF758ALR_HNRNPL	ENCFF888EAZ_HNRNPL
chr2_+_101860825_101860986_101863821_101864051_101864930_101865003	0.28	0.26	0.12	0.07	0.31	0.22	0.08	0.01	0.02	0.05	0.29	0.17	0.17	0.15	0.2	0.1
chr2_+_101867212_101867309_101868029_101868037_101869622_101869797	0.94	0.89	0.34	0.32	0.42	0.39	0.12	0.07	0.22	0.23	0.21	0.25	0.27	0.3	0.44	0.5
chr2_+_101870295_101870415_101871494_101871685_101873647_101873764	0.35	0.32	0.24	0.28	0.18	0.13	0.34	0.38	0.29	0.3	0.21	0.2	0.31	0.34	0.32	0.26
chr2_+_102153963_102154017_102157719_102157785_102164774_102164953	0.98	0.98	0.97	0.93	0.92	0.92	0.96	0.93	0.98	0.96	0.94	0.99	0.98	1	0.88	0.86
chr2_+_105855051_105855289_105881328_105882049_105892982_105893176	0.54	0.54	0.28	0.55	0.47	0.67	0.5	0.5	0.24	0.3	0.56	0.6	0.31	0.48	0.47	0.23
chr2_+_112066936_112067067_112074912_112074962_112077192_112077282	0.96	0.97	0.93	0.95	0.95	0.89	0.93	0.96	0.94	0.97	0.89	0.92	1	0.92	0.96	1
chr2_+_113465129_113465173_113471033_113471089_113482177_113482228	0.81	0.9	0.74	0.8	0.49	0.6	0.62	0.67	1	0.89	0.57	0.74	0.82	0.85	0.59	0.62
chr2_+_121761409_121761524_121763005_121763084_121765134_121765218	0.98	0.99	0.96	0.99	0.9	0.88	0.98	0.99	0.92	0.89	1	1	1	0.98	0.99	0.97
chr2_+_128182130_128182290_128183675_128183789_128186683_128186799	0.98	1	0.98	0.98	0.94	0.99	0.96	0.96	0.99	0.98	0.96	0.96	0.98	0.99	0.99	0.99
chr2_+_131105353_131105398_131120934_131120978_131125753_131125905	0.99	0.99	0.96	0.99	0.87	0.89	0.98	0.97	0.97	0.97	0.98	0.98	1	0.98	0.98	1
chr2_+_131140170_131140275_131144408_131144449_131146637_131147429	0.02	0.01	0.06	0.11	0.02	0	0.04	0.03	0.19	0.18	0.02	0.02	0.03	0.02	0.06	0.03
chr2_+_135638899_135639122_135641536_135641790_135645379_135645527	0.9	0.73	0.34	0.17	0.01	0	0.02	0.16	0.67	0.63	0.23	0.35	0.24	0.26	0.09	0.19
chr2_+_137964514_137964628_137967097_137967386_137970165_137970217	0	0.01	0.01	0.02	0.17	0.21	0.04	0.03	0.01	0.01	0.04	0.02	0.01	0.02	0.09	0.07
chr2_+_137964514_137964628_137970165_137970217_138000918_138001025	0.96	0.96	0.97	0.97	1	0.98	0.93	0.93	0.97	0.98	0.98	0.98	1	0.97	0.96	0.93
chr2_+_142877684_142877736_142885349_142885536_142918609_142918729	0.65	0.57	0.65	0.45	0.59	0.65	0.47	0.6	0.59	0.64	0.36	0.47	0.58	0.54	0.51	0.51
chr2_+_151468000_151468146_151468474_151468551_151468641_151468756	0.38	0.48	0.54	0.56	0.16	0.13	0.12	0.16	0.14	0.11	0.58	0.37	0.35	0.38	0.47	0.44
chr2_+_152558740_152558823_152560883_152561035_152575136_152575244	0.99	0.98	0.99	0.98	0.98	0.93	0.97	0.99	0.96	0.96	0.96	0.97	0.95	1	0.96	0.98
chr2_+_158533180_158533316_158577271_158577383_158603070_158603104	0.81	0.85	0.64	0.54	0.68	0.59	0.78	0.7	0.83	0.85	0.65	0.67	0.95	0.92	0.7	0.58
chr2_+_158673883_158674000_158676739_158676867_158678581_158678654	0.56	0.65	0.22	0.21	0.34	0.33	0.08	0.07	0.09	0.08	0.15	0.17	0.28	0.22	0.37	0.34
chr2_+_158673883_158674000_158678581_158678654_158680429_158681052	0.94	0.84	0.94	0.92	0.95	0.96	0.94	0.95	0.97	0.98	0.9	0.87	0.85	0.95	0.93	0.98
chr2_+_159762880_159762993_159764626_159764674_159767284_159767409	0.96	0.93	1	0.99	0.28	0.15	0.75	0.84	0.98	0.97	0.96	0.98	0.91	0.94	0.95	0.97
chr2_+_161160432_161160486_161161285_161161412_161179614_161179761	0.14	0.14	0.11	0.13	0.05	0.06	0.17	0.15	0.4	0.37	0.17	0.18	0.2	0.24	0.11	0.11
chr2_+_169798880_169798976_169800952_169801026_169805474_169805577	1	1	0.99	0.99	0.95	0.95	1	0.99	1	1	1	0.99	1	1	1	0.99
chr2_+_172497975_172498100_172501772_172501901_172504091_172504252	0.52	0.49	0.35	0.46	0.04	0.04	0.29	0.34	0.74	0.65	0.21	0.22	0.13	0.13	0.22	0.24
chr2_+_172562220_172562291_172562741_172562800_172564503_172564687	0.1	0.05	0.13	0.16	0.19	0.16	0.06	0.12	0.13	0.12	0.13	0.17	0.27	0.19	0.12	0.16
chr2_+_172566856_172566933_172568741_172568817_172570726_172570812	0.92	0.94	0.95	0.97	0.48	0.03	0.55	0.59	1	0.96	0.71	0.43	0.91	0.91	0.96	0.98
chr2_+_176269502_176269669_176270216_176270419_176296860_176296907	0.09	0.11	0.22	0.13	0.34	0.12	0.07	0.06	0.07	0.06	0.11	0.05	0.2	0.15	0	0.12
chr2_+_176297849_176297895_176323392_176323464_176326825_176326901	0.96	0.94	0.96	0.97	0.96	1	0.96	0.94	0.99	1	0.97	0.96	1	0.95	0.89	0.95
chr2_+_177216908_177216940_177217705_177217845_177219037_177219156	0.98	0.97	0.95	0.93	0.91	0.95	0.96	0.96	0.98	0.98	0.96	0.93	0.91	0.93	0.97	0.94
chr2_+_181892632_181892660_181896030_181896079_181896908_181896964	0.93	0.93	1	1	0.7	0.75	0.92	0.96	0.94	0.95	0.87	1	1	1	1	1
chr2_+_181921948_181922412_181928161_181928278_181929561_181929677	0.96	0.96	0.94	0.94	0.89	0.82	0.99	0.97	0.99	0.99	0.92	0.91	0.97	0.91	0.93	0.94
chr2_+_181975219_181975264_181987839_181987899_182061442_182061479	0.35	0.25	0.42	0.3	0.08	0.05	0.47	0.47	0.68	0.65	0.16	0.2	0.69	0.5	0.38	0.29
chr2_+_182732499_182732542_182736249_182736386_182740299_182740384	0.82	0.84	0.9	0.88	0.9	0.87	0.88	0.91	0.89	0.83	0.87	0.88	0.89	0.97	0.95	0.97
chr2_+_189818127_189818180_189843964_189844080_189852655_189852762	0.98	0.95	0.88	0.9	0.86	0.83	0.93	0.9	0.96	0.97	0.96	0.86	0.97	1	0.94	0.96
chr2_+_191400382_191400468_191400749_191400835_191402632_191402718	0.9	0.91	0.79	0.79	0.71	0.76	0.51	0.54	0.38	0.38	0.54	0.69	0.94	0.86	0.95	0.95
chr2_+_191400382_191400468_191402632_191402718_191408115_191408189	0.37	0.47	0.33	0.34	0.22	0.21	0.29	0.31	0.33	0.35	0.49	0.42	0.19	0.32	0.14	0.18
chr2_+_200419250_200419496_200439122_200439328_200440649_200440724	0.47	0.5	0.51	0.51	0.76	0.64	0.45	0.4	0.56	0.58	0.34	0.29	0.55	0.48	0.39	0.44
chr2_+_201072030_201072059_201072279_201072361_201078881_201079022	0.02	0.01	0.04	0.02	0.04	0.01	0.04	0.04	0.01	0	0.03	0.03	0.01	0.01	0.05	0.02
chr2_+_201116407_201116481_201129729_201130146_201133029_201133102	0.94	0.97	0.97	0.93	0.93	1	0.98	0.98	0.65	0.59	0.89	0.74	0.83	0.98	0.91	0.93
chr2_+_201135972_201136107_201136198_201138964_201140357_201140439	0.01	0.03	0.01	0.06	0.15	0.15	0.01	0.08	0.01	0.01	0.03	0.08	0.01	0	0.04	0.02
chr2_+_201272638_201272776_201272898_201272942_201274889_201274953	0.6	0.53	0.86	0.85	0.54	0.51	0.7	0.66	0.8	0.68	0.88	0.8	0.67	0.71	0.8	0.87
chr2_+_202277950_202278002_202278212_202278329_202282351_202282472	0.05	0.03	0.1	0.12	0.02	0.01	0.1	0.03	0	0.03	0.05	0.07	0.01	0.09	0.11	0.08
chr2_+_203266514_203266681_203272670_203272748_203278573_203278688	0.8	0.93	0.91	0.97	0.85	0.9	1	0.92	0.91	0.84	0.83	0.81	0.88	0.81	0.96	1
chr2_+_203366923_203367044_203376057_203376132_203380208_203380273	0.04	0.09	0.06	0.08	0.05	0.01	0.07	0.04	0.13	0.08	0.06	0.14	0.02	0.1	0.06	0.01
chr2_+_203402706_203402734_203411285_203411371_203416908_203416972	0.5	0.52	0.54	0.53	0.51	0.53	0.48	0.55	0.64	0.66	0.34	0.31	0.48	0.67	0.32	0.34
chr2_+_207560314_207560372_207561119_207561160_207567463_207567556	0.03	0.29	0.51	0.42	0.34	0.17	0.36	0.43	0.27	0.39	0.29	0.32	0.44	0.42	0.43	0.35
chr2_+_207726842_207726876_207733947_207734047_207737411_207737446	0.72	0.64	0.77	0.79	0.6	0.45	0.67	0.63	0.87	0.96	0.85	0.75	0.97	0.95	0.85	0.78
chr2_+_207737411_207737446_207740655_207740706_207742223_207742342	0.87	0.68	0.88	0.75	0.62	0.52	0.83	0.75	0.95	0.93	0.91	0.77	0.98	0.9	0.9	0.89
chr2_+_210002657_210002783_210009657_210009736_210015973_210016112	0.89	0.91	0.91	0.95	0.69	0.62	0.99	0.95	0.97	0.99	0.87	0.72	0.96	0.93	0.97	0.93
chr2_+_210017473_210017559_210018153_210018221_210019669_210019735	0.02	0.06	0.07	0.04	0	0	0.05	0.03	0.01	0.02	0.05	0.02	0.05	0.02	0	0.04
chr2_+_210477709_210477766_210519551_210519670_210556719_210556859	0.56	0.33	0.63	0.6	0.79	0.35	0.76	0.86	0.6	0.66	0.33	0.38	0.6	0.69	0.46	0.87
chr2_+_218228803_218228850_218234352_218234397_218238664_218238723	0.97	0.98	0.99	0.99	0.97	0.98	0.98	0.99	0.99	0.99	0.99	0.99	0.99	1	0.98	0.98
chr2_+_222861168_222861258_222887830_222887888_222908733_222909036	0.92	0.95	0.95	0.98	0.83	0.84	0.95	0.96	0.92	0.97	0.94	0.95	0.91	0.98	0.94	1
chr2_+_222887830_222887888_222900674_222900780_222908733_222909036	0.29	0.31	0.27	0.29	0.38	0.39	0.41	0.44	0.22	0.22	0.49	0.48	0.35	0.38	0.32	0.45
chr2_+_222924456_222924595_222927017_222927189_222928862_222928936	1	1	0.98	0.98	0.94	0.92	0.98	0.97	0.97	0.98	0.98	0.99	0.96	0.99	1	0.99
chr2_+_227325365_227325427_227328678_227328789_227330626_227330689	0.75	0.81	0.93	0.99	0.95	0.95	0.75	0.8	0.87	0.9	0.95	0.93	0.97	0.94	1	1
chr2_+_227325365_227325427_227328678_227330846_227332419_227332499	0.87	0.87	0.74	0.7	0.67	0.68	0.77	0.71	0.9	0.89	0.65	0.8	0.84	0.93	0.9	0.9
chr2_+_227328678_227328789_227329606_227329783_227330626_227330689	0	0.05	0.04	0.09	0.02	0.01	0.07	0.07	0.06	0.04	0.12	0.04	0.04	0.03	0.04	0.02
chr2_+_227340292_227340380_227342745_227342819_227347226_227347274	0.24	0.2	0.32	0.28	0.21	0.21	0.35	0.38	0.12	0.11	0.11	0.21	0.22	0.18	0.25	0.13
chr2_+_227340292_227340380_227342745_227342819_227355677_227355761	0.05	0.04	0.17	0.11	0.08	0.07	0.17	0.11	0.08	0.08	0.01	0.1	0.08	0.12	0.08	0.05
chr2_+_227340292_227340380_227347226_227347384_227352514_227352573	0.91	0.91	0.87	0.81	0.65	0.86	0.83	0.85	0.89	0.86	0.7	0.76	0.91	0.88	0.8	0.89
chr2_+_227340292_227340380_227347226_227347384_227355677_227355761	0.1	0.12	0.09	0.11	0.11	0.07	0.23	0.15	0.09	0.16	0.16	0.12	0.22	0.21	0.15	0.16
chr2_+_227340292_227340380_227352514_227352573_227355677_227355761	0.1	0.12	0.06	0.08	0.09	0.03	0.06	0.05	0.27	0.29	0.13	0.13	0.08	0.1	0.04	0.02
chr2_+_227342745_227342819_227347226_227347384_227355677_227355761	0.67	0.75	0.34	0.49	0.36	0.42	0.57	0.59	0.55	0.68	0.83	0.53	0.77	0.65	0.47	0.43
chr2_+_230388559_230388633_230389919_230390023_230392087_230392229	0.95	0.97	0.82	0.86	0.38	0.34	0.71	0.84	0.82	0.69	0.75	0.86	0.96	0.86	0.92	0.91
chr2_+_230864980_230865145_230873417_230873557_230875620_230875808	0.89	0.9	0.96	0.84	1	0.96	0.85	0.79	0.81	0.97	0.88	0.65	0.87	0.89	0.92	0.87
chr2_+_231788689_231788732_231791733_231791808_231794263_231794351	0.99	0.93	0.98	0.99	0.92	1	0.99	0.96	0.97	0.95	0.82	0.81	0.92	0.89	0.94	0.94
chr2_+_232556416_232556530_232557884_232558018_232564247_232564351	0.85	0.87	0.92	0.81	0.71	0.74	0.86	0.89	0.81	0.85	0.83	0.8	0.92	0.88	0.9	0.87
chr2_+_232697383_232697392_232700585_232700654_232703424_232703489	0.45	0.44	0.24	0.41	0.17	0.08	0.21	0.48	0.32	0.41	0.28	0.39	0.14	0.14	0.24	0.36
chr2_+_232697383_232697392_232703424_232703489_232735155_232735237	0.75	0.91	0.92	0.86	0.54	0.61	0.93	0.96	0.82	0.86	0.92	1	1	0.92	0.9	0.76
chr2_+_232703424_232703489_232734417_232734486_232735155_232735237	0.28	0.32	0.16	0.14	0.09	0	0.2	0.28	0.17	0.08	0.45	0.31	0.21	0.03	0	0.15
chr2_+_235908842_235908906_235930765_235930923_235968462_235968623	0.2	0.16	0.32	0.17	0.23	0.26	0.18	0.41	0.65	0.45	0.28	0.5	0.23	0.26	0.16	0.42
chr2_+_237994744_237994809_238016566_238016633_238025342_238025412	0.88	0.88	0.92	0.9	0.81	0.85	0.94	0.78	0.94	0.92	0.94	0.93	0.96	0.91	0.95	0.95
chr2_+_238025342_238025412_238030556_238030613_238032222_238032254	1	0.99	0.98	1	0.85	0.68	0.93	0.93	0.98	0.99	0.99	0.98	1	1	1	0.96
chr2_+_241150496_241150547_241153476_241153604_241157807_241157862	0.92	0.95	0.9	0.85	0.86	0.94	0.79	0.85	0.99	0.97	0.93	0.83	0.91	0.72	0.89	0.98
chr2_+_241315447_241315610_241324216_241324241_241325993_241326051	0.96	0.97	0.97	0.97	0.98	0.98	0.98	0.96	0.98	0.98	0.9	0.95	0.99	0.99	0.97	0.97
chr2_+_241324216_241324241_241325993_241326113_241335126_241335146	0.98	0.98	0.98	0.98	0.99	1	0.99	0.97	0.98	0.99	0.96	0.95	0.97	0.98	0.99	0.99
chr2_+_241343752_241343897_241346166_241346249_241348134_241348191	1	1	1	1	0.99	1	1	0.99	1	1	0.99	0.99	1	1	1	1
chr2_+_241654546_241654647_241655271_241655343_241659108_241659187	0.95	0.97	0.99	1	0.93	0.86	0.99	0.97	0.95	0.98	0.98	0.96	0.99	0.98	0.96	0.94
chr2_-_3533108_3534255_3536198_3536313_3536724_3536911	0.1	0.07	0.17	0.24	0.04	0.11	0.09	0.16	0.07	0.2	0.16	0.29	0	0.05	0.12	0.03
chr2_-_9406814_9406905_9407449_9407598_9408113_9408205	0.89	0.9	0.9	0.87	0.88	0.91	0.85	0.86	0.8	0.74	0.86	0.91	0.97	0.91	0.87	0.91
chr2_-_9412360_9412405_9414178_9414256_9418626_9418732	0.95	0.97	0.96	1	0.82	0.93	0.99	0.97	0.99	0.99	0.94	1	0.97	0.97	1	0.99
chr2_-_9587414_9587509_9588165_9588328_9591392_9591515	1	1	1	1	0.84	0.84	1	1	0.98	0.99	1	1	0.99	0.99	1	1
chr2_-_10654481_10654547_10657742_10657891_10659172_10659250	0.76	0.77	0.56	0.82	0.62	0.46	0.82	0.76	0.81	0.82	0.81	0.71	0.59	0.51	0.74	0.75
chr2_-_11453582_11453798_11455342_11455474_11457179_11457233	0.04	0.16	0.12	0.12	0.06	0.03	0.05	0.07	0.12	0.13	0.1	0.1	0.12	0.12	0.22	0.19
chr2_-_11453582_11453798_11457179_11457233_11465772_11465879	0.63	0.71	0.76	0.82	0.42	0.46	0.76	0.77	0.84	0.82	0.91	0.94	0.68	0.67	0.75	0.74
chr2_-_20001955_20002080_20003161_20003286_20005744_20006310	0.99	0.99	0.98	0.98	0.96	0.93	0.98	0.99	0.99	0.99	0.99	0.94	0.97	0.98	0.99	0.98
chr2_-_20318593_20318645_20326261_20326385_20327310_20327378	0.08	0.11	0.07	0.1	0.12	0.1	0.05	0.09	0.09	0.11	0.08	0.01	0.04	0.08	0.03	0.05
chr2_-_20701575_20701652_20739971_20740205_20774810_20774979	0.93	0.98	0.86	0.88	0.38	0.45	0.82	0.96	0.97	0.95	0.94	0.86	0.78	0.96	0.92	0.86
chr2_-_24068321_24068459_24074076_24074194_24076200_24076326	0.98	0.99	0.98	0.99	0.81	0.81	0.98	0.97	0.97	0.97	0.96	0.98	0.99	0.97	1	0.98
chr2_-_24077634_24077761_24079444_24079640_24080819_24081031	0.9	0.93	0.89	0.88	1	0.97	0.96	0.9	0.99	0.98	0.76	0.79	0.86	0.85	0.96	0.99
chr2_-_25235785_25235825_25236936_25237005_25239130_25239215	0.97	0.92	0.88	0.99	0.86	0.98	0.96	0.91	0.92	0.86	0.91	0.87	1	0.89	0.86	0.85
chr2_-_25248037_25248252_25249657_25249724_25252194_25252311	0.24	0.21	0.29	0.21	0.07	0.12	0.23	0.18	0.17	0.18	0.25	0.36	0.2	0.2	0.28	0.38
chr2_-_27491901_27492478_27492666_27492790_27493389_27493478	0.8	0.8	0.8	0.9	0.56	0.54	0.91	0.98	0.55	0.81	0.77	0.71	0.79	0.95	0.81	0.91
chr2_-_31920798_31920910_31932067_31932135_31943302_31943383	0.95	0.98	0.95	0.92	0.99	0.97	0.98	0.95	0.99	0.93	0.96	0.97	0.97	0.96	0.92	0.93
chr2_-_36558438_36558513_36560785_36560865_36578597_36578832	0.37	0.27	0.1	0.11	0.13	0.1	0.02	0.07	0.02	0.02	0.08	0.08	0.19	0.14	0.15	0.12
chr2_-_36988646_36988859_36990648_36990799_37000586_37000813	0.73	0.85	0.79	0.61	0.36	0.55	0.75	0.89	0.89	0.89	0.77	0.69	0.53	0.85	0.92	1
chr2_-_38318885_38319019_38343268_38343512_38377143_38377262	1	0.98	0.93	0.98	0.79	0.62	0.98	0.99	0.96	1	0.86	0.94	1	0.94	0.95	0.92
chr2_-_38577461_38577532_38577920_38578002_38581913_38581980	0.13	0.13	0.21	0.24	0.12	0.14	0.19	0.09	0.09	0.15	0.15	0.15	0.22	0.19	0.14	0.16
chr2_-_38748579_38748653_38748898_38749346_38749529_38749564	0.09	0.07	0.07	0.05	0.01	0.01	0.06	0.13	0	0.05	0.02	0.02	0.14	0.09	0.06	0.04
chr2_-_38748579_38748653_38749240_38749346_38749529_38749564	0.05	0.06	0.03	0.02	0.07	0.08	0.03	0.05	0.05	0.06	0.04	0.04	0.04	0.06	0.08	0.06
chr2_-_38987473_38987591_38989270_38989314_38995123_38995387	0.33	0.39	0.67	0.7	0.57	0.57	0.78	0.87	0.75	0.84	0.7	0.68	0.65	0.71	0.55	0.48
chr2_-_39299743_39299801_39307943_39308005_39309461_39309519	0.33	0.28	0.56	0.55	0.55	0.51	0.38	0.28	0.43	0.4	0.6	0.63	0.6	0.51	0.29	0.31
chr2_-_46581416_46581591_46588075_46588179_46592475_46592583	0.22	0.25	0.36	0.32	0	0.03	0.3	0.16	0.36	0.53	0.16	0.04	0.19	0.27	0.08	0.06
chr2_-_46613694_46613785_46614937_46615185_46616970_46617041	0.98	0.97	0.96	0.87	0.54	0.71	0.96	0.94	0.99	1	0.9	0.95	0.92	0.95	1	0.97
chr2_-_46907935_46907969_46909023_46909177_46915723_46915761	0.89	0.87	0.95	0.97	1	1	0.94	0.92	0.8	0.88	0.95	0.94	0.92	0.96	0.95	0.94
chr2_-_54973563_54973621_54973821_54973867_54974695_54974764	0.99	0.99	0.99	0.99	0.6	0.6	0.99	0.99	1	1	0.97	0.98	1	0.99	0.99	1
chr2_-_55301872_55302072_55303069_55303152_55308809_55309023	0.66	0.59	0.39	0.32	0.25	0.29	0.07	0.31	0.19	0.27	0.2	0.28	0.43	0.52	0.77	0.56
chr2_-_55568194_55568363_55573619_55573777_55577315_55577356	0.98	0.97	0.98	0.93	0.63	0.55	0.92	0.92	0.93	0.96	0.88	0.88	0.98	0.92	1	1
chr2_-_55577315_55577356_55578247_55578342_55579679_55579781	0.44	0.52	0.49	0.51	0.39	0.29	0.51	0.57	0.48	0.33	0.82	0.92	0.8	0.75	0.43	0.37
chr2_-_61499713_61499894_61501996_61502040_61502249_61502310	0.99	0.98	1	0.99	0.94	0.96	0.98	0.99	0.98	1	1	0.98	0.98	0.98	0.99	1
chr2_-_65088939_65089070_65090983_65091078_65097971_65098066	0.98	0.99	0.99	0.99	0.98	0.99	0.96	0.98	0.87	0.87	0.96	0.97	0.97	0.98	1	0.99
chr2_-_68047277_68047319_68053061_68053137_68062958_68063004	0.29	0.18	0.29	0.41	0.1	0.08	0.42	0.3	0.23	0.17	0.52	0.44	0.37	0.52	0.36	0.42
chr2_-_69419538_69419604_69423582_69423717_69431902_69432005	0.91	0.91	0.93	0.89	0.68	0.81	0.93	0.92	0.89	0.84	0.88	0.96	0.9	0.91	0.93	0.96
chr2_-_70224554_70224629_70225328_70225393_70227735_70227822	0.05	0.04	0.1	0.12	0.05	0.02	0.02	0.06	0	0	0.2	0.25	0.08	0.05	0.15	0.09
chr2_-_70227735_70227822_70228344_70228462_70229059_70229091	0.19	0.15	0.28	0.43	0	0	0.15	0.18	0.05	0.04	0.1	0.14	0.32	0.32	0.09	0.12
chr2_-_70227735_70227822_70229059_70229091_70229264_70229318	0.82	0.83	0.91	0.93	0.47	0.66	0.96	0.96	0.79	0.77	0.81	0.63	0.7	0.93	0.97	0.94
chr2_-_70989749_70989816_70991830_70991983_70993696_70993775	0.94	0.95	0.95	0.91	0.79	0.76	0.91	0.86	0.85	0.9	0.85	0.93	0.9	0.93	0.77	0.77
chr2_-_74135415_74135658_74142272_74142360_74145189_74145303	0.68	0.69	0.66	0.65	0.38	0.51	0.61	0.59	0.85	0.85	0.55	0.61	0.4	0.56	0.54	0.46
chr2_-_85343639_85343798_85343999_85344165_85344239_85344348	1	0.96	0.88	0.93	0.88	0.93	0.98	0.95	0.97	0.98	0.94	0.89	0.93	0.92	0.95	0.92
chr2_-_85559006_85559075_85560815_85560985_85561386_85561431	0.76	0.65	0.62	0.66	0.67	0.54	0.65	0.69	0.66	0.66	0.85	0.8	0.65	0.76	0.63	0.6
chr2_-_85599927_85600018_85600345_85600412_85601021_85601107	0.52	0.54	0.74	0.51	0.6	0.67	0.55	0.44	0.81	0.9	0.57	0.66	0.73	0.72	0.71	0.62
chr2_-_88124494_88124586_88126176_88126348_88127951_88128041	0.96	0.97	0.97	0.98	0.99	0.99	0.89	0.89	0.94	0.94	0.95	0.95	0.93	0.93	0.99	0.99
chr2_-_89562335_89562684_89580558_89580635_89581006_89581140	0.3	0.3	0.24	0.33	0.1	0.05	0.29	0.17	0.2	0.26	0.16	0.39	0.4	0.19	0.18	0.18
chr2_-_91617776_91618154_91654920_91654997_91655368_91655378	0.46	0.54	0.48	0.53	0.32	0.13	0.26	0.3	0.32	0.47	0.56	0.5	0.5	0.27	0.47	0.49
chr2_-_95101677_95101723_95104640_95104730_95106423_95106457	0.96	0.96	0.93	0.97	0.93	0.9	0.94	0.95	0.95	0.95	0.97	0.93	0.99	0.94	0.95	0.96
chr2_-_96601643_96601776_96602116_96602338_96602753_96602862	0.87	0.85	0.87	0.93	0.9	0.77	0.81	0.92	0.97	0.99	0.94	0.8	0.9	0.92	0.7	0.67
chr2_-_99170537_99170652_99171343_99171429_99171510_99171646	0.98	0.98	0.93	0.95	0.11	0.13	0.99	0.95	0.98	0.98	0.86	0.96	1	0.97	0.9	0.97
chr2_-_99171510_99171646_99173414_99173502_99173915_99174016	0.07	0.07	0.11	0.11	0.02	0.02	0.06	0.08	0.02	0.06	0.07	0.06	0.08	0.11	0.1	0.04
chr2_-_99449336_99449504_99451345_99451501_99462496_99462622	0.02	0.04	0.07	0.08	0.07	0	0.15	0.06	0.44	0.38	0.06	0.11	0.04	0.12	0.07	0.1
chr2_-_106093604_106094157_106096718_106096821_106098716_106098773	0.98	0.91	0.96	0.96	0.96	0.89	0.91	0.92	0.98	0.96	0.89	0.94	0.98	0.98	0.95	0.98
chr2_-_109546050_109546237_109553087_109553219_109564366_109564534	0.99	0.93	0.97	0.98	0.95	0.97	1	0.98	0.95	0.95	0.95	0.94	0.93	0.89	0.98	0.98
chr2_-_113715158_113715195_113717753_113717850_113719154_113719244	0.92	0.91	0.95	0.92	0.85	0.9	0.91	0.88	0.75	0.7	0.96	0.95	0.85	0.9	0.96	0.92
chr2_-_121407519_121407715_121409024_121409047_121410866_121410969	0.76	0.79	0.4	0.49	0.35	0.35	0.25	0.17	0.61	0.6	0.21	0.14	0.53	0.41	0.56	0.55
chr2_-_127847841_127848185_127850590_127850685_127852925_127853105	0.86	0.91	0.78	0.87	0.74	0.55	0.87	0.86	0.71	0.72	0.98	0.98	0.88	0.79	0.93	0.9
chr2_-_127866900_127866996_127867145_127867279_127869454_127869540	0.12	0.18	0.24	0.09	0.25	0.21	0.04	0.03	0	0.03	0.08	0.04	0.08	0.06	0.08	0.24
chr2_-_127954986_127955344_127977985_127978089_127986785_127986959	0.67	0.52	0.67	0.65	0.53	0.33	0.61	0.61	0.76	0.68	0.67	0.63	0.57	0.81	0.7	0.6
chr2_-_130157361_130157396_130161186_130161272_130164374_130164445	0.61	0.53	0.19	0.19	0.64	0.51	0.33	0.34	0.14	0.07	0.17	0.08	0.34	0.28	0.09	0.08
chr2_-_130338496_130339232_130339560_130339762_130340908_130341039	0.12	0.06	0.03	0.19	0.14	0.25	0.06	0	0.03	0.01	0.12	0.15	0.11	0.03	0.02	0
chr2_-_135911382_135911493_135912486_135912566_135914469_135914511	1	0.99	0.99	0.99	0.93	0.86	1	1	0.99	0.98	1	0.99	1	1	1	1
chr2_-_147973448_147973524_147975902_147975975_148020633_148020724	0.98	1	0.91	0.9	0.59	0.5	0.95	0.98	0.95	0.99	0.63	0.7	1	0.92	1	0.93
chr2_-_152677451_152677475_152679056_152679109_152679352_152679472	0.83	0.87	0.95	0.95	0.76	0.73	0.88	0.91	0.77	0.83	0.88	0.9	0.8	0.85	0.94	0.93
chr2_-_160281314_160281364_160282257_160282304_160284775_160284868	0.17	0.14	0.35	0.32	0.1	0.12	0.22	0.14	0.17	0.26	0.12	0.18	0.17	0.18	0.21	0.2
chr2_-_164722492_164722522_164727106_164727144_164727969_164728197	0.16	0.12	0.05	0.08	0.01	0	0.21	0.19	0.25	0.14	0.44	0.38	0	0.06	0.15	0
chr2_-_168063500_168063570_168065319_168065381_168074982_168075011	0.95	0.92	0.86	0.93	0.93	0.99	0.96	0.93	0.96	0.96	0.72	0.73	0.85	0.97	0.81	0.8
chr2_-_169812470_169812506_169815477_169815528_169819561_169819643	0.94	0.94	0.93	0.93	0.31	0.34	0.94	0.97	0.94	0.96	0.9	0.84	1	1	0.89	0.92
chr2_-_171061081_171061156_171081640_171081708_171082781_171082852	0.07	0.11	0.16	0.06	0.06	0.05	0.04	0.09	0.04	0.11	0.05	0.1	0.01	0.08	0.06	0.1
chr2_-_175118251_175118369_175121444_175121540_175130138_175130205	0.67	0.59	0.62	0.58	0.51	0.43	0.5	0.64	0.63	0.66	0.79	0.79	0.58	0.66	0.5	0.46
chr2_-_178444422_178444500_178445426_178445535_178447505_178447586	0	0.03	0.03	0.08	0.04	0.03	0.03	0.08	0.07	0.03	0.01	0.04	0.03	0.09	0.02	0.04
